timestamp,equipment_id,vibration,temperature,pressure,current,rpm,tool_wear,degradation_level,failure_imminent,failure_type,production_rate,shift,operator_id,ambient_temperature,ambient_humidity
2020-01-01 01:00:00,Machine_14860,2.9810000000000003,308.6,155.1,42.8,1551,0,0.0,False,No Failure,86.1700488532583,C,OP_011,33.76075158814571,72.26532503439788
2020-01-01 02:00:00,Machine_L47181,2.9819999999999998,308.7,140.8,46.3,1408,3,0.015,False,No Failure,99.99889695276732,A,OP_003,27.434061915909606,40.50509650962023
2020-01-01 03:00:00,Machine_L47182,2.9810000000000003,308.5,149.8,49.4,1498,5,0.025,False,No Failure,84.24704059132254,A,OP_001,21.955836103604966,50.818048685804314
2020-01-01 04:00:00,Machine_L47183,2.9819999999999998,308.6,143.3,39.5,1433,7,0.035,False,No Failure,82.09504701764003,C,OP_007,21.009036068144717,52.456935042107034
2020-01-01 05:00:00,Machine_L47184,2.9819999999999998,308.7,140.8,40.0,1408,9,0.045,False,No Failure,98.46549120824804,C,OP_007,19.98555401741116,32.51359927642921
2020-01-01 06:00:00,Machine_14865,2.9810000000000003,308.6,142.5,41.9,1425,11,0.055,False,No Failure,89.97392096794655,B,OP_008,20.91618403085581,56.931926575049985
2020-01-01 07:00:00,Machine_L47186,2.9810000000000003,308.6,155.8,42.4,1558,14,0.07,False,No Failure,82.42214600169828,C,OP_014,26.61139941382621,54.93384719443914
2020-01-01 08:00:00,Machine_L47187,2.9810000000000003,308.6,152.7,40.2,1527,16,0.08,False,No Failure,94.48158512406928,C,OP_018,17.674032009455523,34.41227746767084
2020-01-01 09:00:00,Machine_14868,2.983,308.7,166.7,28.6,1667,18,0.09,False,No Failure,96.97479635599412,B,OP_012,32.844628000888676,32.43348392123817
2020-01-01 10:00:00,Machine_14869,2.985,309.0,174.1,28.0,1741,21,0.105,False,No Failure,87.22113652576112,B,OP_009,18.62403055941882,60.551455617338476
2020-01-01 11:00:00,Machine_H29424,2.984,308.9,178.2,23.9,1782,24,0.12,False,No Failure,82.27803129605748,A,OP_007,18.435180953557726,31.88482121323874
2020-01-01 12:00:00,Machine_H29425,2.986,309.1,142.3,44.3,1423,29,0.145,False,No Failure,85.9640669442625,C,OP_006,24.493312537245114,72.00355890763464
2020-01-01 13:00:00,Machine_14872,2.986,309.1,133.9,51.1,1339,34,0.17,False,No Failure,86.77372395896842,C,OP_005,26.90156032374771,38.36094882024763
2020-01-01 14:00:00,Machine_14873,2.986,309.2,174.2,30.0,1742,37,0.185,False,No Failure,97.53569036913726,B,OP_008,26.75010065887463,55.85435622053407
2020-01-01 16:00:00,Machine_L47195,2.986,309.2,154.2,48.4,1542,42,0.21,False,No Failure,85.9242776307462,C,OP_002,33.85322403478247,44.87130731116125
2020-01-01 17:00:00,Machine_14876,2.986,309.2,131.1,46.6,1311,44,0.22,False,No Failure,95.01797394930432,B,OP_010,25.73661613443838,57.32782810532089
